Model,WT,S224N
308,6.24825,3.99572
309,6.3205,4.07179
310,6.42514,4.07892
311,6.38141,4.1119
312,6.36794,4.15565
313,6.40849,4.19946
314,6.36861,4.23487
315,6.4319,4.26064
316,6.40973,4.18517
317,6.37413,4.23019
318,6.33929,4.29451
319,6.21823,4.31757
320,6.19748,4.26139
321,6.20491,4.29547
322,6.19124,4.32189
323,6.15652,4.33319
324,6.14297,4.26082
325,6.16394,4.25636
326,6.22285,4.28001
327,6.21739,4.3572
328,6.20883,4.36456
329,6.20839,4.3471
330,6.25488,4.30839
331,6.23908,4.24327
332,6.22042,4.29994
333,6.29565,4.30541
334,6.25049,4.31962
335,6.23372,4.29132
336,6.25078,4.26977
337,6.34972,4.27397
338,6.40728,4.31272
339,6.37597,4.36307
340,6.37527,4.34599
341,6.45932,4.3266
342,6.54296,4.32058
343,6.60673,4.27668
344,6.6321,4.3506
345,6.66538,4.2946
346,6.63137,4.30776
347,6.64563,4.34118
348,6.65967,4.32937
349,6.72261,4.34478
350,6.72732,4.30048
351,6.75104,4.32478
352,6.80127,4.392
353,6.78855,4.35652
354,6.78197,4.34681
355,6.68437,4.32793
356,6.80064,4.32217
357,6.81361,4.28655
358,6.87352,4.32275
359,6.79698,4.32683
360,6.73072,4.33956
361,6.67692,4.39076
362,6.67289,4.33379
363,6.66085,4.37499
364,6.66739,4.36502
365,6.70508,4.37315
366,6.69312,4.33328
367,6.7112,4.32415
368,6.70673,4.30766
369,6.70742,4.35168
370,6.64754,4.3926
371,6.67969,4.37714
372,6.7313,4.40712
373,6.76182,4.38559
374,6.79095,4.39382
375,6.73304,4.37054
376,6.7197,4.38184
377,6.70321,4.42101
378,6.66769,4.43448
379,6.59418,4.4741
380,6.50248,4.49247
381,6.47759,4.55322
382,6.53142,4.52974
383,6.57627,4.60252
384,6.63545,4.66535
385,6.69502,4.64267
386,6.69702,4.74679
387,6.73264,4.81882
388,6.65319,4.8102
389,6.64149,4.74455
390,6.6827,4.76237
391,6.68633,4.8024
392,6.62271,4.81706
393,6.57371,4.77292
394,6.60079,4.84366
395,6.63118,4.85877
396,6.62004,4.95656
397,6.52894,4.99263
398,6.47279,5.06157
399,6.51512,4.96062
400,6.56393,4.86489
401,6.54313,4.89396
402,6.589,4.94417
403,6.54078,5.03399
404,6.57235,4.94363
405,6.55241,5.00051
406,6.59328,4.97333
407,6.64725,4.98914
408,6.68898,5.04638
409,6.64715,5.08292
410,6.69933,5.15988
411,6.74699,5.24622
412,6.79145,5.31022
413,6.79353,5.24707
414,6.7837,5.16215
415,6.81652,5.0871
416,6.76374,5.09033
417,6.74494,5.13299
418,6.67943,5.0321
419,6.61128,5.10324
420,6.6513,5.16672
421,6.68486,5.20231
422,6.6495,5.26512
423,6.67075,5.35205
424,6.58912,5.23565
425,6.58975,5.22361
426,6.64875,5.14522
427,6.63397,5.07194
428,6.66734,5.09622
429,6.67293,5.04732
430,6.71463,5.05717
431,6.74037,5.00668
432,6.77988,4.98926
433,6.74367,4.89764
434,6.69778,4.91534
435,6.72191,4.93647
436,6.78086,4.87707
437,6.83627,4.93713
438,6.91493,4.99754
439,6.94425,4.91307
440,6.91459,4.9836
441,6.90387,5.06431
442,6.90429,4.97068
443,6.9068,5.03404
444,6.85717,4.94193
445,6.8874,4.87952
446,6.84722,4.91964
447,6.79365,4.8493
448,6.82801,4.8243
449,6.80448,4.76309
450,6.78871,4.80495
451,6.70924,4.82928
452,6.74481,4.88874
453,6.77625,4.96607
454,6.74235,4.86232
455,6.79226,4.92198
456,6.79323,4.91737
457,6.84217,4.99419
458,6.84222,4.99838
459,6.80981,5.05783
460,6.73885,4.98885
461,6.67875,4.93429
462,6.57745,4.86031
463,6.58083,4.95325
464,6.54861,5.01155
465,6.59793,5.09073
466,6.65334,5.18648
467,6.57585,5.0821
468,6.5451,4.99301
469,6.51103,5.0841
470,6.49755,4.98641
471,6.53688,5.05685
472,6.44706,4.99772
473,6.51376,4.95885
474,6.56903,5.03762
475,6.59608,4.97968
476,6.6574,5.05745
477,6.70417,5.02463
478,6.69561,5.08251
479,6.62271,5.01375
480,6.65975,4.95095
481,6.65629,4.88135
482,6.65347,4.80038
483,6.69074,4.7296
484,6.62066,4.71487
485,6.57576,4.70245
486,6.6306,4.65098
487,6.68436,4.73705
488,6.67934,4.66509
489,6.66153,4.70643
490,6.69179,4.6506
491,6.76312,4.54194
492,6.76174,4.48448
493,6.67651,4.5578
494,6.62329,4.49127
495,6.69003,4.4172
496,6.66896,4.35249
497,6.72005,4.29703
498,6.75346,4.26549
499,6.68366,4.33663
